"항목","시점",제조업
"가동률지수(원지수)","2014.07",98.7
"가동률지수(원지수)","2014.08",86.8
"가동률지수(원지수)","2014.09",89.0
"가동률지수(원지수)","2014.10",95.9
"가동률지수(원지수)","2014.11",94.0
"가동률지수(원지수)","2014.12",97.6
"가동률지수(원지수)","2015.01",93.1
"가동률지수(원지수)","2015.02",81.2
"가동률지수(원지수)","2015.03",96.5
"가동률지수(원지수)","2015.04",96.1
"가동률지수(원지수)","2015.05",92.1
"가동률지수(원지수)","2015.06",97.4
"가동률지수(원지수)","2015.07",95.0
"가동률지수(원지수)","2015.08",86.3
"가동률지수(원지수)","2015.09",89.0
"가동률지수(원지수)","2015.10",95.5
"가동률지수(원지수)","2015.11",91.9
"가동률지수(원지수)","2015.12",94.3
"가동률지수(원지수)","2016.01",89.4
"가동률지수(원지수)","2016.02",81.6
"가동률지수(원지수)","2016.03",96.2
"가동률지수(원지수)","2016.04",90.4
"가동률지수(원지수)","2016.05",93.1
"가동률지수(원지수)","2016.06",93.4
"가동률지수(원지수)","2016.07",92.1
"가동률지수(원지수)","2016.08",83.7
"가동률지수(원지수)","2016.09",84.8
"가동률지수(원지수)","2016.10",91.1
"가동률지수(원지수)","2016.11",94.3
"가동률지수(원지수)","2016.12",95.0
"가동률지수(원지수)","2017.01",85.1
"가동률지수(원지수)","2017.02",84.1
"가동률지수(원지수)","2017.03",95.5
"가동률지수(원지수)","2017.04",90.5
"가동률지수(원지수)","2017.05",91.2
"가동률지수(원지수)","2017.06",92.0
"가동률지수(원지수)","2017.07",91.4
"가동률지수(원지수)","2017.08",85.2
"가동률지수(원지수)","2017.09",92.0
"가동률지수(원지수)","2017.10",82.9
"가동률지수(원지수)","2017.11 p)",91.1
"가동률지수(원지수)","2017.12 p)",86.9
