"항목","시점",제조업
"가동률지수(계절조정)","2016.05",92.3
"가동률지수(계절조정)","2016.06",89.9
"가동률지수(계절조정)","2016.07",91.5
"가동률지수(계절조정)","2016.08",87.4
"가동률지수(계절조정)","2016.09",88.9
"가동률지수(계절조정)","2016.10",88.1
"가동률지수(계절조정)","2016.11",91.5
"가동률지수(계절조정)","2016.12",90.3
"가동률지수(계절조정)","2017.01",92.2
"가동률지수(계절조정)","2017.02",88.2
"가동률지수(계절조정)","2017.03",90.8
"가동률지수(계절조정)","2017.04",89.2
"가동률지수(계절조정)","2017.05",88.8
"가동률지수(계절조정)","2017.06",88.5
"가동률지수(계절조정)","2017.07",90.8
"가동률지수(계절조정)","2017.08",89.4
"가동률지수(계절조정)","2017.09",89.4
"가동률지수(계절조정)","2017.10",88.3
"가동률지수(계절조정)","2017.11 p)",88.4
"가동률지수(계절조정)","2017.12 p)",87.4
